from,to,relation
dr,hp1,1
dr,hp2,1
dr,hp3,1
dr,hp4,1
dr,hp5,1
dr,hp6,1
dr,hp7,1
dr,hp8,1
dr,dsvp,2
dr,dfis,1
dr,kyd,1
dr,ho,1
dr,tfw,1
dr,dq,2
dr,tg,1
dr,vf,1
dr,sam,1
dr,du2,2
dr,im,2
dr,lil,2
dr,ju,1
dr,dk,1
dr,pm,1
dr,ga,1
dr,efp,1
dr,tlc,2
dr,we,1
rg,hp1,1
rg,hp2,1
rg,hp3,1
rg,hp4,1
rg,hp5,1
rg,hp6,1
rg,hp7,1
rg,hp8,1
rg,dh,2
rg,hbpp,1
rg,ume,1
rg,cb,1
rg,wt,1
rg,itw,2
rg,llcc,2
rg,fus,1
rg,cbgb,1
rg,sc,2
rg,pp,2
rg,iod,1
rg,mw,1
ew,hp1,1
ew,hp2,1
ew,hp3,1
ew,hp4,1
ew,hp5,1
ew,hp6,1
ew,hp7,1
ew,hp8,1
ew,bs,1
ew,dpx,1
ew,mwwm,2
ew,vllm,1
ew,tbr,1
ew,dide,2
ew,noa,1
ew,cod,1
ew,reg,1
ew,dsudb,1
ew,tc,1
ew,lw,1
