from,to,weight
0,43,5
0,44,10
0,10,10
0,6,5
0,16,10
0,3,10
0,2,10
1,31,10
1,47,5
1,20,5
1,57,10
1,27,5
1,4,5
2,94,10
14,2,10
2,4,5
2,6,5
16,2,10
2,7,10
2,3,10
10,2,10
2,8,10
3,61,10
3,43,5
3,32,5
3,6,10
14,3,10
10,3,10
4,6,10
4,9,10
10,4,10
13,4,10
4,5,10
12,4,10
4,8,10
4,7,10
5,7,5
5,6,5
5,9,10
12,5,10
6,12,5
26,6,10
6,7,10
48,7,10
21,7,10
12,7,10
13,7,10
7,8,10
8,95,10
8,6,5
8,13,5
8,12,5
8,9,10
8,5,5
84,9,10
88,9,10
47,9,10
39,9,10
19,9,10
34,9,10
36,9,10
9,95,10
9,16,5
28,9,10
9,22,5
13,9,10
12,9,10
10,9,10
9,6,5
9,7,5
10,88,10
10,43,5
10,52,5
10,95,10
10,94,10
10,28,10
10,7,5
10,6,5
10,26,10
10,5,5
10,16,10
10,12,5
11,93,10
11,15,5
11,92,10
11,90,10
11,46,10
11,38,5
11,68,10
11,70,10
11,100,5
11,37,5
11,73,10
11,72,10
11,59,10
11,40,5
11,32,5
11,57,10
11,47,10
104,11,10
11,7,5
11,17,10
11,21,10
12,13,10
13,6,5
13,10,5
13,16,5
13,5,5
14,8,5
14,4,5
14,7,5
15,43,10
15,32,10
15,30,10
16,95,10
16,4,5
16,8,5
16,3,5
17,18,10
17,43,5
102,17,10
17,32,5
17,21,10
18,41,10
18,60,10
18,54,10
18,52,5
18,43,10
102,18,10
18,32,10
19,93,5
19,20,5
19,39,10
19,88,10
19,36,10
19,52,5
19,92,10
19,104,5
19,57,5
19,98,10
19,42,10
19,90,5
19,6,5
19,47,5
19,12,5
19,100,5
19,8,5
19,7,5
19,4,5
19,11,5
19,34,10
19,17,5
19,21,5
20,90,5
20,97,10
20,57,5
104,20,10
20,47,10
20,100,5
20,32,5
20,27,10
21,32,5
21,8,5
23,60,5
23,58,5
23,52,5
23,43,10
26,8,5
26,47,10
26,97,10
26,17,5
26,3,5
27,42,10
27,36,10
27,85,10
27,100,5
27,97,10
27,57,10
27,60,5
27,28,5
27,10,5
27,47,10
27,5,5
27,24,5
27,7,5
27,13,5
27,4,5
27,12,5
28,61,5
28,6,5
28,3,5
28,43,5
28,4,5
28,95,10
28,22,5
28,8,5
28,7,5
28,12,5
28,16,5
28,13,5
29,4,5
29,7,5
30,72,10
30,83,5
30,71,10
30,70,5
30,52,5
30,102,5
30,44,10
30,17,5
30,18,5
30,43,10
30,32,10
31,15,5
31,28,5
32,58,10
32,54,10
32,83,10
32,71,10
32,46,10
32,70,10
32,59,10
32,45,10
32,41,10
32,52,5
32,43,10
102,32,10
33,86,10
33,90,5
33,92,10
33,48,10
33,57,10
33,68,10
33,59,10
33,72,10
33,46,5
33,15,5
33,47,10
33,37,5
104,33,10
34,93,5
34,85,10
103,34,10
34,36,10
34,92,10
34,100,5
34,90,5
34,97,10
34,60,5
34,46,5
34,98,10
34,47,10
34,57,10
34,39,10
34,12,5
34,7,5
34,8,5
34,4,5
104,34,10
34,11,5
34,21,5
34,17,5
36,10,5
36,93,10
36,92,10
36,39,5
104,36,10
36,90,10
36,100,5
36,47,10
36,43,5
36,37,5
36,57,10
36,13,5
36,6,5
36,12,5
37,93,10
37,89,10
37,73,10
37,47,10
38,48,10
38,100,5
38,57,10
38,33,5
38,73,5
38,72,10
38,59,10
38,37,5
38,47,10
38,46,5
38,32,5
104,38,10
39,17,5
39,6,5
39,57,10
39,92,10
39,10,5
39,15,5
39,21,5
41,66,10
41,87,10
41,60,10
41,54,10
41,58,10
41,50,10
41,45,10
41,46,10
41,51,10
41,52,5
41,44,10
41,43,10
42,37,5
42,93,5
42,90,5
42,31,5
42,39,5
42,73,5
42,60,5
42,72,5
42,59,5
42,40,5
42,100,5
42,104,5
42,56,10
42,20,5
42,57,5
42,97,10
42,47,10
42,32,5
43,54,10
43,80,10
43,83,10
43,79,10
43,82,10
43,65,10
43,78,10
43,66,10
43,58,10
43,61,10
43,51,10
43,52,5
43,49,10
43,46,10
43,50,10
43,45,10
43,44,10
102,43,10
44,6,5
44,89,5
44,71,10
44,66,10
44,54,10
44,15,5
44,51,10
44,90,5
44,83,5
44,64,10
44,77,10
44,79,10
44,81,10
44,60,10
44,78,10
44,45,5
44,18,5
44,58,10
44,59,10
44,49,10
44,61,10
44,32,5
44,52,5
44,46,10
45,53,10
45,66,10
45,54,10
45,82,10
45,60,10
45,79,10
45,78,10
45,74,10
45,61,10
45,49,10
45,58,10
45,51,10
45,50,10
45,46,10
45,30,5
45,52,5
45,102,5
46,87,10
46,86,10
46,77,10
46,79,10
46,82,10
46,80,10
46,78,5
46,73,10
46,74,10
46,49,5
46,72,10
46,17,5
46,63,10
46,15,5
46,18,5
46,60,10
46,70,10
46,58,10
46,68,10
46,59,10
46,47,10
46,66,10
46,30,5
46,62,10
46,54,10
46,61,10
46,94,5
46,48,10
46,21,5
46,52,5
46,51,10
46,50,10
46,3,5
104,46,10
46,6,5
47,93,10
47,86,10
47,90,10
47,89,10
47,73,10
47,59,10
47,99,5
47,72,10
47,70,10
47,68,10
47,32,5
47,10,5
47,28,5
47,60,10
47,24,5
47,57,10
47,12,5
47,16,5
47,6,5
47,43,5
47,7,5
47,13,5
47,4,5
47,8,5
47,97,10
47,40,5
47,48,10
47,101,5
47,95,5
47,96,5
47,5,5
100,47,10
104,47,10
48,90,5
48,93,5
48,24,5
48,86,5
48,73,5
48,62,5
48,72,10
48,59,10
48,70,5
48,68,5
48,43,5
48,4,5
48,100,5
48,32,5
48,57,10
48,40,5
48,11,5
48,37,5
104,48,10
49,53,10
49,51,10
49,91,5
49,82,10
49,61,10
49,52,5
50,53,10
50,61,10
50,79,10
50,60,10
50,63,10
50,65,5
50,66,10
50,58,10
50,54,10
50,52,5
50,51,10
50,102,5
50,44,5
50,32,5
51,60,10
51,53,10
51,58,10
51,32,5
51,52,5
103,52,10
52,71,10
52,91,5
52,87,10
52,82,10
52,83,10
52,77,10
52,81,10
52,80,10
52,79,10
52,78,10
52,76,10
52,74,10
52,59,10
52,62,10
52,65,10
52,66,10
53,79,5
53,63,10
53,76,10
53,46,5
53,58,10
53,66,10
53,61,10
53,41,5
53,44,5
53,52,5
53,40,5
53,60,10
53,64,10
53,43,5
54,66,5
54,91,10
54,87,5
54,83,5
54,82,10
54,78,5
54,58,10
54,61,10
54,60,10
54,51,5
54,52,5
55,104,5
55,46,5
55,95,5
55,22,5
55,12,5
55,5,5
55,4,5
56,73,5
56,26,5
56,40,5
56,72,5
56,59,5
56,15,5
56,104,5
56,95,5
56,34,5
56,101,5
56,24,5
56,68,5
56,8,5
56,27,5
56,32,5
56,60,5
56,46,5
56,20,5
56,4,5
56,57,5
56,97,10
56,100,5
56,47,5
57,71,5
57,46,5
57,92,10
57,68,10
57,102,5
57,90,10
57,37,5
57,86,10
57,14,5
57,99,10
57,60,10
57,26,5
57,59,10
57,73,10
57,72,10
57,70,10
57,31,5
57,17,5
57,95,5
57,96,5
57,22,5
57,5,5
57,12,5
57,6,5
57,7,5
57,8,5
57,4,5
57,40,5
100,57,10
104,57,10
58,63,10
58,74,10
58,65,5
58,61,10
58,49,5
58,66,10
58,60,10
58,52,5
59,86,5
59,14,5
59,92,10
59,93,10
59,90,10
59,89,10
59,73,10
59,72,10
59,70,10
102,59,10
59,68,10
59,37,5
59,62,5
59,100,5
59,43,5
59,30,5
104,59,10
60,93,10
60,90,10
60,64,10
60,81,5
60,83,5
60,79,10
60,52,5
60,82,10
60,68,5
60,32,5
60,80,10
60,63,10
60,66,5
60,65,5
60,49,5
60,78,10
60,74,10
60,61,10
60,67,10
60,62,10
60,43,5
61,62,5
61,66,5
61,64,10
61,82,5
61,77,10
61,52,5
61,6,5
61,32,5
61,74,10
61,41,5
61,65,10
61,51,5
62,74,10
62,7,5
62,43,5
63,61,5
63,37,5
63,59,5
63,32,5
63,77,10
63,54,5
63,65,5
63,51,5
63,45,5
63,44,5
63,41,5
63,66,10
63,43,5
63,52,5
64,50,5
64,51,5
64,41,5
64,43,5
65,41,5
65,51,5
66,49,5
66,51,5
66,32,5
67,43,5
68,89,10
68,90,10
68,93,10
68,92,10
68,73,10
68,72,10
68,70,10
68,62,5
68,100,5
